,customer_id,name,age,city,phone,email,registration_date
0,1001,Omar Al-Qahtani,54.0,Tabuk,543505797,omar.al-qahtani@company.com.sa,04-28-2020
1,1002,Omar al-malki,50.0,Mecca,51-611-9574,omar.al-malki@gmail.com,29/05/2020
2,1003,  Layla  Al-Harbi  ,21.0,Abha,+966 555937784,layla..al-harbi@gmail.com,22/08/2024
3,1004,Sarah Al-Dosari,53.0,Jeddah,966590920322,sarah.al-dosari@gmail.com,24/02/2024
4,1005,Ali Al-Saudi,37.0,Riyadh,552590113,ali.al-saudi@gmail.com,07-01-2020
5,1006,AHMED AL-MALKI,52.0,Dammam,+966 519914833,ahmed.al-malki@company.com.sa,2022-12-30
6,1007,Mariam Al-Mutairi,37.0,Mecca,966597967090,mariam.al-mutairi@gmail.com,25/06/2021
7,1008,  Ali  Al-Mutairi  ,,Abha,,ali..al-mutairi@hotmail.com,20/12/2020
8,1009,Khalid al-otaibi,,Medina,52-403-3495,khalid.al-otaibi@company.com.sa,2021-08-23
9,1010,Sarah Al-Qahtani,18.0,Abha,58-977-7200,sarah.al-qahtani@outlook.sa,2022-01-02
10,1011,Layla Al-Mutairi,46.0,Jeddah,+966 550193967,layla.al-mutairi@hotmail.com,14/11/2022
11,1012,  Sarah  Al-Ghamdi  ,27.0,Medina,546084274,sarah..al-ghamdigmail.com,07-Jul-2021
12,1013,Sarah Al-Malki,47.0,Tabuk,0537925107,sarah.al-malki@outlook.sa,2022-12-28
13,1014,Yusuf Al-Dosari,55.0,Riyadh,0517631454,yusuf.al-dosari@company.com.sa,14/02/2022
14,1015,Ali Al-Otaibi,28.0,Medina,52-140-5922,ali.al-otaibi@company.com.sa,22-Dec-2022
15,1016,  Mariam  Al-Rashid  ,27.0,Mecca,59-981-9411,,2021-05-09
16,1017,  Khalid  Al-Dosari  ,47.0,Jeddah,,khalid..al-dosari@hotmail.com,11-04-2023
17,1018,Mohammed Al-Saudi,29.0,Riyad,0540178183,,2020-09-17
18,1019,Aisha Al-Zahrani,51.0,Jeddah,966599948941,aisha.al-zahrani@outlook.sa,06-Jun-2021
